epoch,accuracy,loss,val_accuracy,val_loss
0,0.4375,1.413905143737793,0.6666666865348816,0.6812414526939392
1,0.5625,1.0030018091201782,0.6666666865348816,0.42784300446510315
2,0.8125,0.489421546459198,1.0,0.28400731086730957
3,0.75,0.4728314280509949,1.0,0.1886623650789261
4,0.8125,0.3660861849784851,1.0,0.21967686712741852
5,0.875,0.2932026982307434,1.0,0.07179909199476242
6,0.9375,0.1743246614933014,1.0,0.041304852813482285
7,0.9375,0.11998651921749115,1.0,0.013257130980491638
8,1.0,0.03558703139424324,1.0,0.07812739908695221
9,1.0,0.06520131975412369,1.0,0.045430924743413925
